strategy,alpha,seed,vdf_delay,use_vdf,num_epochs,total_slots,runtime_seconds,adversarial_reward,slot_gain,fork_rate,reorg_rate,missed_slots,forks,reorgs,total_blocks,canonical_adversarial_fraction
adaptive_mixing,0.1,1,0,False,15,480,1.2474156659991422,0.1466346153846154,0.046634615384615385,0.0,0.022916666666666665,11,0,11,469,0.10874200426439233
adaptive_mixing,0.1,1,32,True,15,480,1.3157286250007019,0.11538461538461539,0.015384615384615385,0.0,0.0,0,0,0,480,0.10208333333333333
adaptive_mixing,0.1,2,0,False,15,480,1.2542877920004685,0.12259615384615384,0.022596153846153835,0.0,0.020833333333333332,10,0,10,470,0.08936170212765958
adaptive_mixing,0.1,2,32,True,15,480,1.2970858749995386,0.07692307692307693,-0.023076923076923078,0.0,0.0,0,0,0,480,0.06875
adaptive_mixing,0.1,3,0,False,15,480,1.2365545829998155,0.16105769230769232,0.06105769230769231,0.0,0.025,12,0,12,468,0.11965811965811966
adaptive_mixing,0.1,3,32,True,15,480,1.2924563750002562,0.08173076923076923,-0.018269230769230774,0.0,0.0,0,0,0,480,0.07291666666666667
adaptive_mixing,0.2,1,0,False,15,480,1.175015415999951,0.2932692307692308,0.09326923076923077,0.0,0.052083333333333336,25,0,25,455,0.23736263736263735
adaptive_mixing,0.2,1,32,True,15,480,1.3035264170011942,0.21634615384615385,0.016346153846153844,0.0,0.0,0,0,0,480,0.21041666666666667
adaptive_mixing,0.2,2,0,False,15,480,1.1695369579992985,0.3004807692307692,0.1004807692307692,0.0,0.058333333333333334,28,0,28,452,0.23893805309734514
adaptive_mixing,0.2,2,32,True,15,480,1.3008281669990538,0.15625,-0.04375000000000001,0.0,0.0,0,0,0,480,0.15833333333333333
adaptive_mixing,0.2,3,0,False,15,480,1.1343740409993188,0.31971153846153844,0.11971153846153842,0.0,0.07291666666666667,35,0,35,445,0.2449438202247191
adaptive_mixing,0.2,3,32,True,15,480,1.299705499999618,0.18028846153846154,-0.019711538461538475,0.0,0.0,0,0,0,480,0.17916666666666667
adaptive_mixing,0.3,1,0,False,15,480,1.1595397080000112,0.40625,0.10625000000000001,0.0,0.06458333333333334,31,0,31,449,0.34966592427616927
adaptive_mixing,0.3,1,32,True,15,480,1.2955967500001861,0.31490384615384615,0.014903846153846156,0.0,0.0,0,0,0,480,0.3125
adaptive_mixing,0.3,2,0,False,15,480,1.1302145419995213,0.4014423076923077,0.10144230769230772,0.0,0.075,36,0,36,444,0.33783783783783783
adaptive_mixing,0.3,2,32,True,15,480,1.2949418749994948,0.2620192307692308,-0.03798076923076921,0.0,0.0,0,0,0,480,0.26666666666666666
adaptive_mixing,0.3,3,0,False,15,480,1.0975948340001196,0.4495192307692308,0.1495192307692308,0.0,0.09375,45,0,45,435,0.3701149425287356
adaptive_mixing,0.3,3,32,True,15,480,1.3016167919995496,0.25961538461538464,-0.04038461538461535,0.0,0.0,0,0,0,480,0.26458333333333334
forking,0.1,1,0,False,15,480,1.4504146670005866,0.1201923076923077,0.02019230769230769,0.03333333333333333,0.0625,0,16,30,480,0.04666666666666667
forking,0.1,1,32,True,15,480,1.4283091670004069,0.12259615384615384,0.022596153846153835,0.03333333333333333,0.06666666666666667,0,16,32,480,0.044642857142857144
forking,0.1,2,0,False,15,480,1.477381165999759,0.11057692307692307,0.010576923076923067,0.03125,0.05625,0,15,27,480,0.04415011037527594
forking,0.1,2,32,True,15,480,1.4528549580008985,0.11057692307692307,0.010576923076923067,0.035416666666666666,0.06041666666666667,0,17,29,480,0.03991130820399113
forking,0.1,3,0,False,15,480,1.5530387079998036,0.10576923076923077,0.005769230769230763,0.03125,0.05416666666666667,0,15,26,480,0.04185022026431718
forking,0.1,3,32,True,15,480,1.4904177090011217,0.0889423076923077,-0.01105769230769231,0.022916666666666665,0.04375,0,11,21,480,0.037037037037037035
forking,0.2,1,0,False,15,480,1.5388207910000347,0.21634615384615385,0.016346153846153844,0.07083333333333333,0.12916666666666668,0,34,62,480,0.09330143540669857
forking,0.2,1,32,True,15,480,1.6157138750004378,0.17067307692307693,-0.029326923076923084,0.05625,0.09791666666666667,0,27,47,480,0.08083140877598152
forking,0.2,2,0,False,15,480,1.6195022909996624,0.19951923076923078,-0.00048076923076922906,0.06458333333333334,0.11875,0,31,57,480,0.08747044917257683
forking,0.2,2,32,True,15,480,1.5987370410002768,0.20432692307692307,0.0043269230769230616,0.06666666666666667,0.12083333333333333,0,32,58,480,0.09004739336492891
forking,0.2,3,0,False,15,480,1.6037700420001784,0.2091346153846154,0.00913461538461538,0.06875,0.125,0,33,60,480,0.09047619047619047
forking,0.2,3,32,True,15,480,1.5391286249996483,0.21394230769230768,0.01394230769230767,0.075,0.125,0,36,60,480,0.09523809523809523
forking,0.3,1,0,False,15,480,1.6439991659990483,0.30528846153846156,0.005288461538461575,0.10208333333333333,0.17916666666666667,0,49,86,480,0.15228426395939088
forking,0.3,1,32,True,15,480,1.6459555410001485,0.30528846153846156,0.005288461538461575,0.10208333333333333,0.18333333333333332,0,49,88,480,0.14795918367346939
forking,0.3,2,0,False,15,480,1.6497209580011258,0.3004807692307692,0.00048076923076922906,0.09791666666666667,0.17708333333333334,0,47,85,480,0.14936708860759493
forking,0.3,2,32,True,15,480,1.6411172919997625,0.3125,0.012500000000000011,0.10625,0.1875,0,51,90,480,0.15128205128205127
forking,0.3,3,0,False,15,480,1.64399025000057,0.31009615384615385,0.010096153846153866,0.10416666666666667,0.18333333333333332,0,50,88,480,0.15306122448979592
forking,0.3,3,32,True,15,480,1.689222917000734,0.28125,-0.01874999999999999,0.09583333333333334,0.16666666666666666,0,46,80,480,0.14
honest_baseline,0.1,1,0,False,15,480,1.3385766250012239,0.09134615384615384,-0.008653846153846165,0.0,0.0,0,0,0,480,0.08125
honest_baseline,0.1,1,32,True,15,480,1.339890707999075,0.11538461538461539,0.015384615384615385,0.0,0.0,0,0,0,480,0.10208333333333333
honest_baseline,0.1,2,0,False,15,480,1.2997672090004926,0.11298076923076923,0.012980769230769226,0.0,0.0,0,0,0,480,0.1
honest_baseline,0.1,2,32,True,15,480,1.304979208000077,0.07692307692307693,-0.023076923076923078,0.0,0.0,0,0,0,480,0.06875
honest_baseline,0.1,3,0,False,15,480,1.3060772089993407,0.10096153846153846,0.0009615384615384581,0.0,0.0,0,0,0,480,0.08958333333333333
honest_baseline,0.1,3,32,True,15,480,1.298907791999227,0.08173076923076923,-0.018269230769230774,0.0,0.0,0,0,0,480,0.07291666666666667
honest_baseline,0.2,1,0,False,15,480,1.2974055419999786,0.18509615384615385,-0.014903846153846156,0.0,0.0,0,0,0,480,0.18333333333333332
honest_baseline,0.2,1,32,True,15,480,1.3444961670011253,0.21634615384615385,0.016346153846153844,0.0,0.0,0,0,0,480,0.21041666666666667
honest_baseline,0.2,2,0,False,15,480,1.3544528749989695,0.20432692307692307,0.0043269230769230616,0.0,0.0,0,0,0,480,0.2
honest_baseline,0.2,2,32,True,15,480,1.3103818750005303,0.15625,-0.04375000000000001,0.0,0.0,0,0,0,480,0.15833333333333333
honest_baseline,0.2,3,0,False,15,480,1.3018190840011812,0.21875,0.01874999999999999,0.0,0.0,0,0,0,480,0.2125
